Número de característica,N,AS,MR,MS,MVP,p-valor
SBV 1,0.019479 ± 0.087278,0.019915 ± 0.087179,0.025120 ± 0.085813,0.020167 ± 0.087121,0.020537 ± 0.087034,0.023580907458985147
SBV 2,0.018674 ± 0.087456,0.032153 ± 0.083414,0.020794 ± 0.086972,0.023745 ± 0.086207,0.018275 ± 0.087541,8.575142147160145e-21
SBV 3,0.021621 ± 0.086769,0.024134 ± 0.086098,0.028373 ± 0.084785,0.020443 ± 0.087056,0.019706 ± 0.087227,3.150395527380864e-08
SBV 4,0.019614 ± 0.087248,0.018315 ± 0.087532,0.021888 ± 0.086701,0.020813 ± 0.086968,0.031569 ± 0.083639,3.4123026231642672e-15
SBV 5,0.019582 ± 0.087255,0.020340 ± 0.087080,0.027772 ± 0.084986,0.018856 ± 0.087416,0.021898 ± 0.086699,1.630272368664369e-12
SBV 6,0.020885 ± 0.086950,0.031048 ± 0.083835,0.020484 ± 0.087046,0.018146 ± 0.087568,0.019064 ± 0.087371,3.6235888373044193e-23
SBV 7,0.020524 ± 0.087037,0.020166 ± 0.087121,0.021382 ± 0.086828,0.020318 ± 0.087085,0.021688 ± 0.086752,3.1132233145384034e-05
