distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
10-7,2,KNN,DeepONMF_H2,1,155,35,5,5,0.95,0.96875,0.875,0.96875,0.921875
10-7,2,KNN,DeepONMF_H2,2,157,36,4,3,0.965,0.98125,0.9,0.9751552795031055,0.940625
10-7,2,KNN,DeepONMF_H2,3,154,30,10,6,0.92,0.9625,0.75,0.9390243902439024,0.85625
10-7,2,KNN,DeepONMF_H2,4,155,34,6,5,0.945,0.96875,0.85,0.9627329192546584,0.909375
10-7,2,KNN,DeepONMF_H2,5,158,34,6,2,0.96,0.9875,0.85,0.9634146341463414,0.91875
10-7,2,KNN,DeepONMF_W,1,146,34,6,14,0.9,0.9125,0.85,0.9605263157894737,0.88125
10-7,2,KNN,DeepONMF_W,2,139,34,6,21,0.865,0.86875,0.85,0.9586206896551724,0.859375
10-7,2,KNN,DeepONMF_W,3,141,32,8,19,0.865,0.88125,0.8,0.9463087248322147,0.840625
10-7,2,KNN,DeepONMF_W,4,149,29,11,11,0.89,0.93125,0.725,0.93125,0.828125
10-7,2,KNN,DeepONMF_W,5,145,32,8,15,0.885,0.90625,0.8,0.9477124183006536,0.853125
10-7,2,SVM,DeepONMF_H2,1,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
10-7,2,SVM,DeepONMF_H2,2,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
10-7,2,SVM,DeepONMF_H2,3,154,37,3,6,0.955,0.9625,0.925,0.9808917197452229,0.9437500000000001
10-7,2,SVM,DeepONMF_H2,4,154,36,4,6,0.95,0.9625,0.9,0.9746835443037974,0.93125
10-7,2,SVM,DeepONMF_H2,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
10-7,2,SVM,DeepONMF_W,1,144,39,1,16,0.915,0.9,0.975,0.993103448275862,0.9375
10-7,2,SVM,DeepONMF_W,2,143,38,2,17,0.905,0.89375,0.95,0.9862068965517241,0.921875
10-7,2,SVM,DeepONMF_W,3,143,36,4,17,0.895,0.89375,0.9,0.9727891156462585,0.8968750000000001
10-7,2,SVM,DeepONMF_W,4,147,38,2,13,0.925,0.91875,0.95,0.9865771812080537,0.934375
10-7,2,SVM,DeepONMF_W,5,146,37,3,14,0.915,0.9125,0.925,0.9798657718120806,0.91875
10-7,2,UjaNet,DeepONMF_H2,1,160,38,2,0,0.99,1.0,0.95,0.9876543209876543,0.975
10-7,2,UjaNet,DeepONMF_H2,2,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
10-7,2,UjaNet,DeepONMF_H2,3,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
10-7,2,UjaNet,DeepONMF_H2,4,157,40,0,3,0.985,0.98125,1.0,1.0,0.990625
10-7,2,UjaNet,DeepONMF_H2,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
10-7,2,UjaNet,DeepONMF_W,1,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
10-7,2,UjaNet,DeepONMF_W,2,157,34,6,3,0.955,0.98125,0.85,0.9631901840490797,0.9156249999999999
10-7,2,UjaNet,DeepONMF_W,3,153,37,3,7,0.95,0.95625,0.925,0.9807692307692307,0.940625
10-7,2,UjaNet,DeepONMF_W,4,155,40,0,5,0.975,0.96875,1.0,1.0,0.984375
10-7,2,UjaNet,DeepONMF_W,5,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
