,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,40,0,0,0,0
real_AS,0,38,0,0,2
real_MR,0,2,36,1,1
real_MS,1,0,1,34,4
real_MVP,1,0,3,2,34
