,N,AS,MR,MS,MVP
N,97.0,0.0,1.0,0.0,2.0
AS,0.0,96.0,3.0,0.5,0.5
MR,2.5,3.0,91.5,2.0,1.0
MS,0.0,1.5,1.0,93.5,4.0
MVP,5.5,3.0,1.5,1.5,88.5
