distribucion,rangos,numero_capas,ronda,segundos,audios,folds,evaluaciones_esperadas
7-5-3,"[7, 5, 3]",3,1,121.21640040000057,1000,5,60
8-4,"[8, 4]",2,1,122.5797778999986,1000,5,60
9-7-5-3,"[9, 7, 5, 3]",4,1,123.31800010000006,1000,5,60
11-5,"[11, 5]",2,2,121.0144780000046,1000,5,60
11-6,"[11, 6]",2,2,145.81011679999938,1000,5,60
12-5,"[12, 5]",2,2,123.89123239999752,1000,5,60
12-6-5,"[12, 6, 5]",3,2,121.84141219999584,1000,5,60
12-7,"[12, 7]",2,2,130.39400390000085,1000,5,60
12-9-6,"[12, 9, 6]",3,2,139.04163510000217,1000,5,60
13-12-6,"[13, 12, 6]",3,2,142.11295089999476,1000,5,60
13-6,"[13, 6]",2,2,136.30623979999655,1000,5,60
13-7,"[13, 7]",2,2,140.18860680000216,1000,5,60
14-6,"[14, 6]",2,2,142.05647450000106,1000,5,60
14-7,"[14, 7]",2,2,148.71556090000377,1000,5,60
15-11-7,"[15, 11, 7]",3,2,160.99317399999563,1000,5,60
15-6,"[15, 6]",2,2,137.1881493999972,1000,5,60
15-7-6,"[15, 7, 6]",3,2,142.9355362999995,1000,5,60
15-8,"[15, 8]",2,2,170.3482742999986,1000,5,60
16-15-7,"[16, 15, 7]",3,2,158.169604900002,1000,5,60
16-7,"[16, 7]",2,2,152.3183674000029,1000,5,60
16-8,"[16, 8]",2,2,180.19490280000173,1000,5,60
5-3,"[5, 3]",2,2,115.71914449999896,1000,5,60
6-4,"[6, 4]",2,2,121.57780300000012,1000,5,60
6-4-3,"[6, 4, 3]",3,2,120.40114709999762,1000,5,60
6-5-3,"[6, 5, 3]",3,2,115.33987229999912,1000,5,60
7-3,"[7, 3]",2,2,119.5290718000033,1000,5,60
7-4,"[7, 4]",2,2,118.4455362000008,1000,5,60
7-4-3,"[7, 4, 3]",3,2,122.64570950000052,1000,5,60
7-5,"[7, 5]",2,2,117.83033680000516,1000,5,60
7-5-4,"[7, 5, 4]",3,2,118.69885860000068,1000,5,60
7-5-4-3,"[7, 5, 4, 3]",4,2,120.63893509999616,1000,5,60
7-6-3,"[7, 6, 3]",3,2,123.2379265999989,1000,5,60
7-6-5-3,"[7, 6, 5, 3]",4,2,114.0711322999996,1000,5,60
8-3,"[8, 3]",2,2,119.68857669999852,1000,5,60
8-4-3,"[8, 4, 3]",3,2,122.0797476000007,1000,5,60
8-5,"[8, 5]",2,2,117.48443119999864,1000,5,60
8-6-4,"[8, 6, 4]",3,2,117.9379237999965,1000,5,60
8-7-5-3,"[8, 7, 5, 3]",4,2,119.60221199999796,1000,5,60
9-4,"[9, 4]",2,2,119.00719989999924,1000,5,60
9-5,"[9, 5]",2,2,124.29733409999608,1000,5,60
9-8-4,"[9, 8, 4]",3,2,125.59576519999972,1000,5,60
10-3,"[10, 3]",2,3,123.91316099999676,1000,5,60
10-4,"[10, 4]",2,3,119.87640929999908,1000,5,60
10-6,"[10, 6]",2,3,151.0627497999958,1000,5,60
10-8-3,"[10, 8, 3]",3,3,124.60950669999876,1000,5,60
10-8-4,"[10, 8, 4]",3,3,124.77570529999502,1000,5,60
11-3,"[11, 3]",2,3,128.73505149999983,1000,5,60
11-5-3,"[11, 5, 3]",3,3,128.1264214000039,1000,5,60
11-7,"[11, 7]",2,3,151.81929339999624,1000,5,60
11-8-5,"[11, 8, 5]",3,3,133.56519970000227,1000,5,60
13-11-5,"[13, 11, 5]",3,3,131.23056680000445,1000,5,60
13-5,"[13, 5]",2,3,129.01009850000264,1000,5,60
4-3,"[4, 3]",2,3,127.5970174000031,1000,5,60
6-5,"[6, 5]",2,3,127.7576298999993,1000,5,60
