,N,AS,MR,MS,MVP
N,98.0,0.0,0.5,0.5,1.0
AS,0.0,95.0,3.0,0.5,1.5
MR,1.0,3.0,92.5,2.5,1.0
MS,0.5,0.5,1.0,94.0,4.0
MVP,4.5,4.5,0.5,2.0,88.5
