indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
0,SNR_8db,N,New_N_001.wav,12-10-8-6,DeepONMF_H4,4,0.3814626157490371,6x212,0.018986099981702864,12,0.1706540420692683,0.2617781027042044,0.007903399993665516,10,0.1676909878755373,0.11850743977614164,0.00370110000949353,8,0.2561276007774714,0.08554290938136708,0.0035646000178530812,6,0.3706854198283838,0.08782362906709798,0.0029586999444290996
1,SNR_8db,N,New_N_002.wav,12-10-8-6,DeepONMF_H4,4,0.3764244891372335,6x212,0.020152200013399124,12,0.16738153959862218,0.25818787980700986,0.008580400026403368,10,0.19880549195556413,0.1624608192067117,0.0045025000581517816,8,0.28488400033429795,0.11483113324708268,0.0033839999232441187,6,0.35175333455766616,0.1185891073187439,0.002789999940432608
2,SNR_8db,N,New_N_003.wav,12-10-8-6,DeepONMF_H4,4,0.3382790706679685,6x212,0.01957360003143549,12,0.169046183186948,0.27246125310481983,0.009128699894063175,10,0.20201420483660582,0.1659445970591341,0.003985599963925779,8,0.3471215439337594,0.12299616967850405,0.0029832000145688653,6,0.33972091532011933,0.1100981841030323,0.0026334000285714865
3,SNR_8db,N,New_N_004.wav,12-10-8-6,DeepONMF_H4,4,0.34355559986443296,6x212,0.017730899970047176,12,0.1695380547897614,0.2671244416749788,0.007873900001868606,10,0.12691198388494573,0.16580005207775247,0.0035290999803692102,8,0.1822627817428636,0.12721162126380448,0.002789700054563582,6,0.28145770410014975,0.13323496931721734,0.0027001999551430345
4,SNR_8db,N,New_N_005.wav,12-10-8-6,DeepONMF_H4,4,0.3689307211933044,6x212,0.01884589996188879,12,0.16594778146716124,0.29261620576875313,0.008594200015068054,10,0.23147726228540508,0.15022737610816295,0.0034772000508382916,8,0.2880047852650583,0.13233052573799334,0.0030593000119552016,6,0.41267629492674385,0.17105191496982802,0.002887899987399578
5,SNR_8db,N,New_N_006.wav,12-10-8-6,DeepONMF_H4,4,0.393252601527406,6x212,0.018326299963518977,12,0.17231512025531437,0.2928015529248548,0.00819469999987632,10,0.1756046644135006,0.13191990936683848,0.0036087000044062734,8,0.22392020109485242,0.09988489205328523,0.0028830000665038824,6,0.29930977571831807,0.08686819233446057,0.00273800001014024
6,SNR_8db,N,New_N_007.wav,12-10-8-6,DeepONMF_H4,4,0.3801306265306596,6x212,0.020148899988271296,12,0.17001077946409276,0.29563782217331136,0.009116799919866025,10,0.16717309230941818,0.1596590404664775,0.0036937000695616007,8,0.17705283889782705,0.12165167902310096,0.002882300061173737,6,0.33166253226239273,0.12887131440072866,0.003472200012765825
7,SNR_8db,N,New_N_008.wav,12-10-8-6,DeepONMF_H4,4,0.3639820621860761,6x212,0.01910949999000877,12,0.1667859966933488,0.35005659434948266,0.008567500044591725,10,0.30135674564220805,0.15077669175132738,0.0034619999350979924,8,0.2914740951132526,0.14728438319321555,0.003443000023253262,6,0.34105414275152096,0.13637108834256767,0.0027468999614939094
8,SNR_8db,N,New_N_009.wav,12-10-8-6,DeepONMF_H4,4,0.36582269883723406,6x212,0.01770820003002882,12,0.1706126343063106,0.30079570622741925,0.007419899920932949,10,0.2076287399427095,0.16721770191258672,0.0034365999745205045,8,0.2844057927959767,0.11876107155103457,0.003215199918486178,6,0.3424959127503269,0.14085665245900625,0.0027079000137746334
9,SNR_8db,N,New_N_010.wav,12-10-8-6,DeepONMF_H4,4,0.35705655988580376,6x212,0.018048600060865283,12,0.16861291874034717,0.2562166520775261,0.007697500055655837,10,0.2520752676082015,0.1365698624173926,0.004114200011827052,8,0.27040243252027174,0.15027343904379772,0.0027458000695332885,6,0.34488498858385364,0.14353224590953637,0.0025399000151082873
10,SNR_8db,N,New_N_011.wav,12-10-8-6,DeepONMF_H4,4,0.33272746699986,6x212,0.01710339996498078,12,0.1678118693765547,0.2885901489278526,0.007248600013554096,10,0.24388787916918886,0.15075703308111946,0.003654100000858307,8,0.31969301143435946,0.1429061415642252,0.0027839000103995204,6,0.4020886415785673,0.1568377531375315,0.002630300004966557
11,SNR_8db,N,New_N_012.wav,12-10-8-6,DeepONMF_H4,4,0.34041063872636335,6x212,0.017212299979291856,12,0.17002681205312323,0.3017909855785787,0.007093299995176494,10,0.19729195590100365,0.13931349884019562,0.0038790999678894877,8,0.29566199805741344,0.12074587661621508,0.002810100093483925,6,0.3576430372313265,0.12386387154839604,0.0026402000803500414
12,SNR_8db,N,New_N_013.wav,12-10-8-6,DeepONMF_H4,4,0.39590730705257815,6x212,0.018375399988144636,12,0.16761068812079763,0.26589265065538153,0.007944099954329431,10,0.17426467924058048,0.15230311106838396,0.003861999954096973,8,0.2768990642793085,0.11308172075546677,0.0029386000242084265,6,0.37050911326400987,0.12888145255868988,0.0027721000369638205
13,SNR_8db,N,New_N_014.wav,12-10-8-6,DeepONMF_H4,4,0.4053935509674592,6x212,0.018415700062178075,12,0.17059673113288218,0.27588939569148413,0.008190499967895448,10,0.2479588534592301,0.14643073310309407,0.0036878999089822173,8,0.29138361592448003,0.11300727727480771,0.0028855999698862433,6,0.360256958322916,0.10561481164863931,0.0027808999875560403
