clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
N,37,159,1,3,0.98,0.925,0.99375,0.9736842105263158,0.9593750000000001,40
AS,36,157,3,4,0.965,0.9,0.98125,0.9230769230769231,0.940625,40
MR,39,151,9,1,0.95,0.975,0.94375,0.8125,0.959375,40
MS,37,157,3,3,0.97,0.925,0.98125,0.925,0.953125,40
MVP,33,158,2,7,0.955,0.825,0.9875,0.9428571428571428,0.90625,40
PROMEDIO_MACRO,182,782,18,18,0.9639999999999999,0.9100000000000001,0.9775,0.9154236552920765,0.94375,200
