epoca,loss_train,loss_val
1,1.3584961373555033,0.7534464001655579
2,0.8852410771344837,0.5519051551818848
3,0.5858446312578101,0.463222861289978
4,0.560879426567178,0.3768939673900604
5,0.4379005279195936,0.35616013407707214
6,0.35787727379877315,0.30565616488456726
7,0.3457759879529476,0.32765868306159973
8,0.329073621842422,0.30498257279396057
9,0.2716042727330013,0.34129610657691956
10,0.2649960143393592,0.3347311317920685
11,0.24968674298571913,0.30418550968170166
12,0.256254430762247,0.2819482982158661
13,0.22809758047132114,0.2708706259727478
14,0.15691542174471051,0.2781323790550232
15,0.17646050960511753,0.2657974362373352
16,0.19094243005996472,0.30142781138420105
17,0.1608141813378193,0.2708055078983307
18,0.14059057350785129,0.27738675475120544
19,0.10621268300364088,0.28401798009872437
20,0.09969058355904724,0.30927565693855286
21,0.1044813878405349,0.28896546363830566
22,0.07227026264942986,0.3326575756072998
23,0.08737809244102161,0.3321687579154968
24,0.07874374916335862,0.33226901292800903
25,0.07938202829590361,0.3591940999031067
