distribucion,numero_capas,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte,pareja,sentido,orden_excel,dimensiones_repetidas
28-20-14-10,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825,0.9308576401599656,0.9562499999999998,200,45,decreciente,88,False
28-20-14-10,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.9216517495079756,0.95,200,45,decreciente,88,False
28-20-14-10,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9266996019242488,0.953125,200,45,decreciente,88,False
10-14-20-28,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.9222708870077292,0.95,200,45,creciente,89,False
10-14-20-28,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,176,776,24,24,0.952,0.8799999999999999,0.97,0.8834607122201106,0.9249999999999998,200,45,creciente,89,False
10-14-20-28,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.9377382260309088,0.959375,200,45,creciente,89,False
10-14-20-28,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,177,777,23,23,0.954,0.8850000000000001,0.97125,0.8889884298377726,0.928125,200,45,creciente,89,False
10-14-20-28,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,191,791,9,9,0.982,0.955,0.98875,0.9567084078711986,0.971875,200,45,creciente,89,False
26-2,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,188,788,12,12,0.976,0.94,0.985,0.9404389648292086,0.9625,200,46,decreciente,90,False
26-2,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9775,0.9152670775927884,0.94375,200,46,decreciente,90,False
26-2,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825,0.9317251461988304,0.95625,200,46,decreciente,90,False
26-2,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.9380024247610896,0.959375,200,46,decreciente,90,False
26-2,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,191,791,9,9,0.982,0.9549999999999998,0.98875,0.954865540963102,0.971875,200,46,decreciente,90,False
2-26,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.98625,0.9477147649098868,0.965625,200,46,creciente,91,False
2-26,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.97375,0.898077287751881,0.934375,200,46,creciente,91,False
2-26,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,176,776,24,24,0.952,0.8799999999999999,0.97,0.8796436490338928,0.925,200,46,creciente,91,False
2-26,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.922818409660515,0.95,200,46,creciente,91,False
2-26,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825000000000002,0.931611012008958,0.95625,200,46,creciente,91,False
26-7-2,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,191,791,9,9,0.982,0.955,0.98875,0.9549055565743628,0.971875,200,47,decreciente,92,False
26-7-2,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9775,0.911056017153578,0.94375,200,47,decreciente,92,False
26-7-2,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.9200268304247766,0.95,200,47,decreciente,92,False
26-7-2,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9192691874614072,0.946875,200,47,decreciente,92,False
26-7-2,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.9367813701392828,0.959375,200,47,decreciente,92,False
2-7-26,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.936968704382204,0.959375,200,47,creciente,93,False
2-7-26,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9023558753122024,0.9375,200,47,creciente,93,False
2-7-26,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,178,778,22,22,0.956,0.89,0.9725,0.8934968542629281,0.93125,200,47,creciente,93,False
2-7-26,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.9099730909305376,0.940625,200,47,creciente,93,False
2-7-26,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.9057402674844536,0.940625,200,47,creciente,93,False
26-11-5-2,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,192,792,8,8,0.984,0.9600000000000002,0.99,0.9610922340420504,0.975,200,48,decreciente,94,False
26-11-5-2,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.924368613842298,0.9531249999999998,200,48,decreciente,94,False
26-11-5-2,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9181425348597212,0.946875,200,48,decreciente,94,False
26-11-5-2,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825,0.932551296941541,0.95625,200,48,decreciente,94,False
26-11-5-2,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.9372904872904874,0.959375,200,48,decreciente,94,False
2-5-11-26,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.9203529803529804,0.95,200,48,creciente,95,False
2-5-11-26,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,173,773,27,27,0.946,0.865,0.96625,0.8695263907276496,0.915625,200,48,creciente,95,False
2-5-11-26,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.9080663780663782,0.940625,200,48,creciente,95,False
2-5-11-26,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,178,778,22,22,0.956,0.89,0.9725,0.8958739658510826,0.93125,200,48,creciente,95,False
2-5-11-26,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,188,788,12,12,0.976,0.94,0.985,0.9404733493474275,0.9625,200,48,creciente,95,False
26-4,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.98625,0.945797570607852,0.965625,200,49,decreciente,96,False
26-4,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9774999999999998,0.9105982905982908,0.94375,200,49,decreciente,96,False
26-4,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825,0.932736861029544,0.95625,200,49,decreciente,96,False
26-4,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9263607737291948,0.953125,200,49,decreciente,96,False
26-4,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.98625,0.9470479970479972,0.965625,200,49,decreciente,96,False
4-26,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9223186033824332,0.946875,200,49,creciente,97,False
4-26,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,178,778,22,22,0.956,0.89,0.9725,0.8967494824016564,0.93125,200,49,creciente,97,False
4-26,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9774999999999998,0.9125175907683648,0.94375,200,49,creciente,97,False
4-26,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.97125,0.8930485242113149,0.928125,200,49,creciente,97,False
4-26,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,176,776,24,24,0.952,0.8800000000000001,0.97,0.8882637585991244,0.925,200,49,creciente,97,False
26-10-4,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,191,791,9,9,0.982,0.955,0.98875,0.9560287081339712,0.971875,200,50,decreciente,98,False
26-10-4,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.905009428032684,0.940625,200,50,decreciente,98,False
26-10-4,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9775,0.9112471356373796,0.94375,200,50,decreciente,98,False
26-10-4,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9267738592157198,0.953125,200,50,decreciente,98,False
26-10-4,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,190,790,10,10,0.98,0.95,0.9875,0.95044825313118,0.96875,200,50,decreciente,98,False
4-10-26,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,188,788,12,12,0.976,0.94,0.985,0.9408141067897166,0.9625,200,50,creciente,99,False
4-10-26,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9775,0.9113790738025744,0.94375,200,50,creciente,99,False
4-10-26,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9262969898877592,0.953125,200,50,creciente,99,False
4-10-26,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9774999999999998,0.9110964127671596,0.94375,200,50,creciente,99,False
4-10-26,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825,0.9322534269902693,0.95625,200,50,creciente,99,False
26-14-7-4,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,190,790,10,10,0.98,0.95,0.9874999999999998,0.9503479853479856,0.96875,200,51,decreciente,100,False
26-14-7-4,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9148973549524346,0.946875,200,51,decreciente,100,False
26-14-7-4,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9775,0.9107444545185238,0.94375,200,51,decreciente,100,False
26-14-7-4,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.921883153715258,0.95,200,51,decreciente,100,False
26-14-7-4,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.9234883720930231,0.95,200,51,decreciente,100,False
4-7-14-26,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.9204945504945506,0.95,200,51,creciente,101,False
4-7-14-26,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.9201039446510684,0.95,200,51,creciente,101,False
4-7-14-26,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9189165782962178,0.946875,200,51,creciente,101,False
4-7-14-26,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9774999999999998,0.9161842105263158,0.94375,200,51,creciente,101,False
4-7-14-26,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9286793560477772,0.953125,200,51,creciente,101,False
26-6,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,191,791,9,9,0.982,0.955,0.98875,0.9560640351114124,0.971875,200,52,decreciente,102,False
26-6,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9775,0.9103686923006564,0.94375,200,52,decreciente,102,False
26-6,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.936219512195122,0.959375,200,52,decreciente,102,False
26-6,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,191,791,9,9,0.982,0.9549999999999998,0.98875,0.9569684278762705,0.971875,200,52,decreciente,102,False
26-6,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,191,791,9,9,0.982,0.955,0.98875,0.9579126488939308,0.971875,200,52,decreciente,102,False
6-26,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,190,790,10,10,0.98,0.95,0.9875,0.9503792186719016,0.96875,200,52,creciente,103,False
6-26,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9774999999999998,0.9128078868345642,0.94375,200,52,creciente,103,False
6-26,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,188,788,12,12,0.976,0.94,0.985,0.9399749843652282,0.9625,200,52,creciente,103,False
6-26,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.923053039171809,0.95,200,52,creciente,103,False
6-26,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9603789891632086,0.975,200,52,creciente,103,False
26-12-6,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,191,791,9,9,0.982,0.955,0.98875,0.9551026957637998,0.971875,200,53,decreciente,104,False
26-12-6,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,178,778,22,22,0.956,0.89,0.9725,0.8915206991364689,0.93125,200,53,decreciente,104,False
26-12-6,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.9202725729554996,0.95,200,53,decreciente,104,False
26-12-6,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,188,788,12,12,0.976,0.9399999999999998,0.985,0.9408757806860624,0.9625,200,53,decreciente,104,False
26-12-6,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,187,787,13,13,0.974,0.9350000000000002,0.98375,0.9361668930824376,0.959375,200,53,decreciente,104,False
6-12-26,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,191,791,9,9,0.982,0.955,0.98875,0.9549812382739212,0.971875,200,53,creciente,105,False
6-12-26,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,172,772,28,28,0.944,0.86,0.965,0.8702549737843857,0.9125,200,53,creciente,105,False
6-12-26,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,180,780,20,20,0.96,0.8999999999999998,0.975,0.9031355597376564,0.9375,200,53,creciente,105,False
6-12-26,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825,0.9311318976274048,0.95625,200,53,creciente,105,False
6-12-26,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9066183085919928,0.9375,200,53,creciente,105,False
26-16-10-6,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,191,791,9,9,0.982,0.955,0.98875,0.9552043506921556,0.971875,200,54,decreciente,106,False
26-16-10-6,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.9053457969247444,0.940625,200,54,decreciente,106,False
26-16-10-6,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.925920535920536,0.953125,200,54,decreciente,106,False
26-16-10-6,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9775,0.9104978848881288,0.94375,200,54,decreciente,106,False
26-16-10-6,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825,0.9304549987476816,0.95625,200,54,decreciente,106,False
6-10-16-26,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.9366434139748344,0.959375,200,54,creciente,107,False
6-10-16-26,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.97375,0.8969700013602452,0.934375,200,54,creciente,107,False
6-10-16-26,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9163792846719676,0.946875,200,54,creciente,107,False
6-10-16-26,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.97375,0.8954714016341923,0.934375,200,54,creciente,107,False
6-10-16-26,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825000000000002,0.930790877986,0.95625,200,54,creciente,107,False
26-8,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,193,793,7,7,0.986,0.965,0.9912500000000002,0.965989091570487,0.978125,200,55,decreciente,108,False
26-8,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9775,0.9125482906469744,0.94375,200,55,decreciente,108,False
26-8,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,187,787,13,13,0.974,0.9350000000000002,0.98375,0.9364335664335663,0.959375,200,55,decreciente,108,False
26-8,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,193,793,7,7,0.986,0.965,0.99125,0.9660340038105212,0.978125,200,55,decreciente,108,False
26-8,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.98625,0.9467386414754836,0.965625,200,55,decreciente,108,False
8-26,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,190,790,10,10,0.98,0.95,0.9875,0.9501991376189066,0.96875,200,55,creciente,109,False
8-26,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.97375,0.8953763603238473,0.934375,200,55,creciente,109,False
8-26,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.8766958603884298,0.921875,200,55,creciente,109,False
8-26,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,185,785,15,15,0.97,0.9250000000000002,0.98125,0.9290585437953858,0.953125,200,55,creciente,109,False
8-26,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.9355889724310776,0.959375,200,55,creciente,109,False
26-14-8,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,191,791,9,9,0.982,0.955,0.98875,0.9556426407875792,0.971875,200,56,decreciente,110,False
26-14-8,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,176,776,24,24,0.952,0.8800000000000001,0.97,0.8856104355617844,0.925,200,56,decreciente,110,False
26-14-8,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.97125,0.889095458770052,0.928125,200,56,decreciente,110,False
26-14-8,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9255248816224426,0.953125,200,56,decreciente,110,False
26-14-8,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.9862499999999998,0.9464459930313588,0.965625,200,56,decreciente,110,False
8-14-26,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9270562770562768,0.953125,200,56,creciente,111,False
8-14-26,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9775,0.9128824833702882,0.94375,200,56,creciente,111,False
8-14-26,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,178,778,22,22,0.956,0.89,0.9725,0.8928885422575157,0.9312499999999998,200,56,creciente,111,False
8-14-26,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,188,788,12,12,0.976,0.94,0.985,0.9407557354925776,0.9625,200,56,creciente,111,False
8-14-26,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,184,784,16,16,0.968,0.9200000000000002,0.98,0.9220384833544222,0.95,200,56,creciente,111,False
26-18-12-8,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9606709080393292,0.975,200,57,decreciente,112,False
26-18-12-8,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9016193059038816,0.9375,200,57,decreciente,112,False
26-18-12-8,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.920701045511327,0.95,200,57,decreciente,112,False
26-18-12-8,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9148467792370232,0.946875,200,57,decreciente,112,False
26-18-12-8,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.937971175166297,0.959375,200,57,decreciente,112,False
8-12-18-26,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.98625,0.9454578754578756,0.965625,200,57,creciente,113,False
8-12-18-26,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,178,778,22,22,0.9559999999999998,0.89,0.9725,0.8933501122825713,0.93125,200,57,creciente,113,False
8-12-18-26,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,178,778,22,22,0.9559999999999998,0.89,0.9725,0.8940627202255108,0.93125,200,57,creciente,113,False
8-12-18-26,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.9377238550922762,0.959375,200,57,creciente,113,False
8-12-18-26,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825000000000002,0.9301277584204414,0.95625,200,57,creciente,113,False
26-10,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,193,793,7,7,0.986,0.965,0.9912500000000002,0.965648894696272,0.978125,200,58,decreciente,114,False
26-10,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.904022097927746,0.9375,200,58,decreciente,114,False
26-10,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825,0.9334632034632036,0.95625,200,58,decreciente,114,False
26-10,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.92575761370743,0.953125,200,58,decreciente,114,False
26-10,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825000000000002,0.93155950752394,0.95625,200,58,decreciente,114,False
10-26,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.9382078177713608,0.959375,200,58,creciente,115,False
10-26,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,180,780,20,20,0.9599999999999996,0.9,0.975,0.9050485967820135,0.9375,200,58,creciente,115,False
10-26,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9251764495666934,0.953125,200,58,creciente,115,False
10-26,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.98625,0.9453210888384188,0.965625,200,58,creciente,115,False
10-26,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825,0.9312038412038413,0.95625,200,58,creciente,115,False
26-16-10,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9609398731349952,0.975,200,59,decreciente,116,False
26-16-10,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.97125,0.8850877192982456,0.928125,200,59,decreciente,116,False
26-16-10,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9774999999999998,0.9107538014149054,0.94375,200,59,decreciente,116,False
26-16-10,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,190,790,10,10,0.98,0.95,0.9875,0.9513557970903403,0.96875,200,59,decreciente,116,False
26-16-10,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,191,791,9,9,0.982,0.955,0.98875,0.9570312143996352,0.971875,200,59,decreciente,116,False
10-16-26,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,190,790,10,10,0.98,0.95,0.9875,0.9501855755038128,0.96875,200,59,creciente,117,False
10-16-26,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.905033498807568,0.940625,200,59,creciente,117,False
10-16-26,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.90441232205334,0.9375,200,59,creciente,117,False
10-16-26,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,173,773,27,27,0.946,0.8649999999999999,0.96625,0.8652039895942336,0.915625,200,59,creciente,117,False
10-16-26,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9175517622886044,0.946875,200,59,creciente,117,False
26-19-14-10,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,188,788,12,12,0.976,0.94,0.985,0.9416376067739052,0.9625,200,60,decreciente,118,False
26-19-14-10,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9186799204133372,0.946875,200,60,decreciente,118,False
26-19-14-10,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9154163824850754,0.946875,200,60,decreciente,118,False
26-19-14-10,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.9057007355787844,0.940625,200,60,decreciente,118,False
26-19-14-10,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.9068665240035064,0.940625,200,60,decreciente,118,False
10-14-19-26,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,188,788,12,12,0.976,0.94,0.985,0.9404178770032428,0.9625,200,60,creciente,119,False
10-14-19-26,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.9069229047489916,0.940625,200,60,creciente,119,False
10-14-19-26,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,178,778,22,22,0.9559999999999998,0.89,0.9725,0.8910825616277555,0.93125,200,60,creciente,119,False
10-14-19-26,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9267965367965368,0.953125,200,60,creciente,119,False
10-14-19-26,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825,0.9305074238001068,0.95625,200,60,creciente,119,False
24-2,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,193,793,7,7,0.986,0.965,0.9912500000000002,0.9658850086615258,0.978125,200,61,decreciente,120,False
