distribucion,numero_capas,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte,pareja,sentido,orden_excel,dimensiones_repetidas
32-13-5-2,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.97125,0.8892728466669514,0.928125,200,3,decreciente,4,False
32-13-5-2,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825,0.9307107823276788,0.95625,200,3,decreciente,4,False
32-13-5-2,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,188,788,12,12,0.976,0.9399999999999998,0.985,0.940622891602233,0.9625,200,3,decreciente,4,False
32-13-5-2,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.959853033145716,0.975,200,3,decreciente,4,False
2-5-13-32,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.923804709784051,0.95,200,3,creciente,5,False
2-5-13-32,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,174,774,26,26,0.948,0.8699999999999999,0.9675,0.8766199317923455,0.91875,200,3,creciente,5,False
2-5-13-32,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.97375,0.8984938621797195,0.934375,200,3,creciente,5,False
2-5-13-32,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,179,779,21,21,0.958,0.8950000000000001,0.97375,0.9000302095049862,0.934375,200,3,creciente,5,False
2-5-13-32,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9774999999999998,0.9116101790520394,0.94375,200,3,creciente,5,False
32-4,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,190,790,10,10,0.98,0.95,0.9875,0.9503470919324576,0.96875,200,4,decreciente,6,False
32-4,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.8998403754217709,0.9375,200,4,decreciente,6,False
32-4,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.9353012541753324,0.959375,200,4,decreciente,6,False
32-4,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.98625,0.946125861786966,0.965625,200,4,decreciente,6,False
32-4,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,194,794,6,6,0.988,0.97,0.9925,0.9705918877870096,0.98125,200,4,decreciente,6,False
4-32,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.919738851933974,0.946875,200,4,creciente,7,False
4-32,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,174,774,26,26,0.9479999999999998,0.8699999999999999,0.9675,0.8707913685307119,0.91875,200,4,creciente,7,False
4-32,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9775,0.9142108342804234,0.94375,200,4,creciente,7,False
4-32,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.9712499999999998,0.8875322046374677,0.928125,200,4,creciente,7,False
4-32,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9185413421007828,0.946875,200,4,creciente,7,False
32-11-4,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,191,791,9,9,0.982,0.955,0.98875,0.955668480058724,0.971875,200,5,decreciente,8,False
32-11-4,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,179,779,21,21,0.958,0.8950000000000001,0.97375,0.8985644855381698,0.934375,200,5,decreciente,8,False
32-11-4,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,188,788,12,12,0.976,0.94,0.985,0.9408703183121788,0.9625,200,5,decreciente,8,False
32-11-4,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,188,788,12,12,0.976,0.94,0.985,0.9417307713513344,0.9625,200,5,decreciente,8,False
32-11-4,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9602313946216384,0.975,200,5,decreciente,8,False
4-11-32,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.9217641817641816,0.95,200,5,creciente,9,False
4-11-32,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,178,778,22,22,0.956,0.89,0.9725,0.8954914708807531,0.93125,200,5,creciente,9,False
4-11-32,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.915181682429069,0.940625,200,5,creciente,9,False
4-11-32,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.97375,0.8976909547360984,0.934375,200,5,creciente,9,False
4-11-32,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,184,784,16,16,0.968,0.9200000000000002,0.98,0.9235104978128236,0.95,200,5,creciente,9,False
32-16-8-4,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,191,791,9,9,0.982,0.955,0.98875,0.9553273427471116,0.971875,200,6,decreciente,10,False
32-16-8-4,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9775,0.910009428032684,0.94375,200,6,decreciente,10,False
32-16-8-4,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.906888778296367,0.940625,200,6,decreciente,10,False
32-16-8-4,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.8996886446886446,0.9375,200,6,decreciente,10,False
32-16-8-4,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.9351156973108192,0.959375,200,6,decreciente,10,False
4-8-16-32,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,184,784,16,16,0.968,0.9200000000000002,0.98,0.9225702282313324,0.95,200,6,creciente,11,False
4-8-16-32,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,178,778,22,22,0.956,0.89,0.9725,0.8899466742489999,0.93125,200,6,creciente,11,False
4-8-16-32,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.9073672375021624,0.940625,200,6,creciente,11,False
4-8-16-32,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9775,0.9155162666790574,0.94375,200,6,creciente,11,False
4-8-16-32,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.98625,0.9452786045789896,0.965625,200,6,creciente,11,False
32-6,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,195,795,5,5,0.99,0.975,0.99375,0.9758420441347272,0.984375,200,7,decreciente,12,False
