,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,34,0,5,0,1
real_AS,0,32,8,0,0
real_MR,0,0,38,0,2
real_MS,0,0,5,32,3
real_MVP,1,3,6,3,27
