,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,34,0,0,2,4
real_AS,0,36,2,2,0
real_MR,0,2,33,3,2
real_MS,1,1,3,31,4
real_MVP,3,1,7,3,26
