distribucion,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
No aplica,UjaNet,STFT,0.999,0.0022360679774997,1.0,0.0,0.995,0.0111803398874989,0.9987577639751553,0.0027777241956519,0.9975,0.0055901699437494
No aplica,UjaNet,MFCC,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
No aplica,UjaNet,MelSpectrogram,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
No aplica,UjaNet,LogMelSpectrogram,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9-8-7,UjaNet,DeepONMF_W,0.968,0.0075828754440515,0.97375,0.0167705098312484,0.945,0.0480884601541783,0.9863247080942016,0.0117825504563252,0.959375,0.0176776695296636
15-10-5,UjaNet,DeepONMF_W,0.959,0.0143178210632763,0.97125,0.0094785943050643,0.91,0.0518411033833193,0.9774645020051438,0.0126602220388899,0.940625,0.0275106513463421
10-6-4,UjaNet,DeepONMF_W,0.958,0.0213892496362074,0.97625,0.0204442840422451,0.885,0.0575543221661067,0.9715124551797172,0.0142569244794602,0.930625,0.0319759431057162
8-5-3,UjaNet,DeepONMF_W,0.964,0.0207364413533276,0.9775,0.0219195973959377,0.91,0.0335410196624968,0.9774993138943272,0.0084417766716455,0.94375,0.0228574044348871
9-8-7,UjaNet,DeepONMF_H3,0.992,0.0083666002653407,0.99375,0.0062499999999999,0.985,0.0223606797749979,0.99625,0.0055901699437494,0.989375,0.0131843894435805
15-10-5,UjaNet,DeepONMF_H3,0.993,0.0067082039324993,0.99625,0.0034232659844072,0.98,0.0209165006633519,0.9950155279503106,0.005201327380379,0.988125,0.0119814309454255
10-6-4,UjaNet,DeepONMF_H3,0.987,0.0075828754440515,0.99125,0.0071260964068696,0.97,0.0209165006633519,0.9925072792918704,0.0052093895730579,0.980625,0.011566722202076
8-5-3,UjaNet,DeepONMF_H3,0.985,0.0061237243569579,0.9925,0.0081490030065033,0.955,0.0273861278752583,0.9888493942563292,0.0066743531968477,0.97375,0.012223504509755
