distribucion,clasificador,representacion,Accuracy_nuevo,Accuracy_referencia_9_8_7,delta_Accuracy,Sensitivity_nuevo,Sensitivity_referencia_9_8_7,delta_Sensitivity,Specificity_nuevo,Specificity_referencia_9_8_7,delta_Specificity,Precision_nuevo,Precision_referencia_9_8_7,delta_Precision,Score_nuevo,Score_referencia_9_8_7,delta_Score
15-10-5,SVM,DeepONMF_W,0.8864000000000001,0.882,0.0044000000000000705,0.716,0.705,0.01100000000000001,0.929,0.92625,0.00275000000000003,0.7211477914250988,0.7086501547289049,0.012497636696193859,0.8225,0.815625,0.0068749999999999645
10-6-4,SVM,DeepONMF_W,0.8948,0.882,0.012800000000000034,0.737,0.705,0.03200000000000003,0.93425,0.92625,0.008000000000000007,0.746889822840441,0.7086501547289049,0.03823966811153612,0.835625,0.815625,0.019999999999999907
8-5-3,SVM,DeepONMF_W,0.8948,0.882,0.012800000000000034,0.737,0.705,0.03200000000000003,0.93425,0.92625,0.008000000000000007,0.7475231932915423,0.7086501547289049,0.03887303856263735,0.835625,0.815625,0.019999999999999907
15-10-5,SVM,DeepONMF_H3,0.9544,0.954,0.00040000000000006697,0.8859999999999999,0.885,0.0009999999999998899,0.9715,0.97125,0.0002500000000000835,0.8881896176531983,0.8892995236970721,-0.0011099060438738428,0.92875,0.928125,0.0006249999999999867
10-6-4,SVM,DeepONMF_H3,0.9568,0.954,0.0028000000000000247,0.892,0.885,0.007000000000000006,0.973,0.97125,0.0017500000000000293,0.8951278959573938,0.8892995236970721,0.005828372260321735,0.9325,0.928125,0.004375000000000018
8-5-3,SVM,DeepONMF_H3,0.9608,0.954,0.006800000000000028,0.902,0.885,0.017000000000000015,0.9755,0.97125,0.004250000000000087,0.904773149056212,0.8892995236970721,0.015473625359139875,0.93875,0.928125,0.010624999999999996
15-10-5,KNN,DeepONMF_W,0.8328,0.8208,0.01200000000000001,0.582,0.552,0.029999999999999916,0.8955,0.8879999999999999,0.007500000000000062,0.61344809941709,0.5723008392011482,0.04114726021594184,0.7387499999999999,0.72,0.018749999999999933
10-6-4,KNN,DeepONMF_W,0.85,0.8208,0.029200000000000004,0.625,0.552,0.07299999999999995,0.90625,0.8879999999999999,0.0182500000000001,0.6494820245317623,0.5723008392011482,0.07718118533061413,0.765625,0.72,0.04562500000000003
8-5-3,KNN,DeepONMF_W,0.8596,0.8208,0.03880000000000006,0.649,0.552,0.09699999999999998,0.91225,0.8879999999999999,0.024250000000000105,0.6773538149154336,0.5723008392011482,0.1050529757142854,0.780625,0.72,0.06062500000000004
15-10-5,KNN,DeepONMF_H3,0.918,0.8996000000000001,0.018399999999999972,0.7949999999999999,0.749,0.04599999999999993,0.94875,0.93725,0.011499999999999955,0.8221552169024692,0.79429243858022,0.02786277832224915,0.871875,0.843125,0.028749999999999942
10-6-4,KNN,DeepONMF_H3,0.9332,0.8996000000000001,0.03359999999999996,0.833,0.749,0.08399999999999996,0.95825,0.93725,0.02100000000000002,0.8459910257393373,0.79429243858022,0.05169858715911724,0.8956250000000001,0.843125,0.0525000000000001
8-5-3,KNN,DeepONMF_H3,0.9356,0.8996000000000001,0.03599999999999992,0.8390000000000001,0.749,0.09000000000000008,0.95975,0.93725,0.022499999999999964,0.8555500177034991,0.79429243858022,0.061257579123279116,0.899375,0.843125,0.05625000000000002
15-10-5,UjaNet,DeepONMF_W,0.9372,0.9344,0.0028000000000000247,0.843,0.836,0.007000000000000006,0.96075,0.959,0.0017500000000000293,0.8475473918477547,0.8415429079897642,0.006004483857990572,0.901875,0.8975,0.004375000000000018
10-6-4,UjaNet,DeepONMF_W,0.938,0.9344,0.0035999999999999366,0.845,0.836,0.009000000000000008,0.96125,0.959,0.0022500000000000853,0.8502989224755803,0.8415429079897642,0.008756014485816088,0.903125,0.8975,0.005624999999999991
8-5-3,UjaNet,DeepONMF_W,0.9492,0.9344,0.014800000000000035,0.873,0.836,0.03700000000000003,0.96825,0.959,0.009250000000000091,0.8814761225997048,0.8415429079897642,0.03993321460994059,0.920625,0.8975,0.023125000000000062
15-10-5,UjaNet,DeepONMF_H3,0.972,0.9756,-0.0036000000000000476,0.93,0.939,-0.008999999999999897,0.9825,0.98475,-0.0022499999999999742,0.931363653470468,0.9403683132374544,-0.00900465976698639,0.95625,0.961875,-0.005624999999999991
10-6-4,UjaNet,DeepONMF_H3,0.97,0.9756,-0.005600000000000049,0.925,0.939,-0.013999999999999901,0.98125,0.98475,-0.0035000000000000586,0.9265715592127396,0.9403683132374544,-0.013796754024714808,0.953125,0.961875,-0.008750000000000036
8-5-3,UjaNet,DeepONMF_H3,0.9751999999999998,0.9756,-0.000400000000000178,0.938,0.939,-0.0010000000000000009,0.9845,0.98475,-0.00024999999999997247,0.9401057961694652,0.9403683132374544,-0.0002625170679891875,0.96125,0.961875,-0.0006249999999999867
