evaluacion,fila,firma_esperada
binaria,25,"UjaNet
DeepONMF_W
10-6-4
0.9306
0.9580
0.9762
0.8850
0.9715"
binaria,26,"SVM
DeepONMF_W
15-10-5
0.9300
0.9240
0.9200
0.9400
0.9840"
binaria,27,"SVM
DeepONMF_W
9-8-7
0.9269
0.9250
0.9237
0.9300
0.9814"
binaria,28,"KNN
DeepONMF_H3
8-5-3
0.9237
0.9620
0.9875
0.8600
0.9658"
binaria,29,"SVM
DeepONMF_W
10-6-4
0.9213
0.9100
0.9025
0.9400
0.9837"
binaria,30,"SVM
DeepONMF_W
8-5-3
0.9206
0.9060
0.8962
0.9450
0.9850"
binaria,31,"KNN
DeepONMF_H3
15-10-5
0.9062
0.9520
0.9825
0.8300
0.9587"
binaria,32,"KNN
DeepONMF_W
15-10-5
0.8994
0.9020
0.9038
0.8950
0.9719"
binaria,33,"KNN
DeepONMF_H3
9-8-7
0.8781
0.9370
0.9762
0.7800
0.9473"
binaria,34,"KNN
DeepONMF_W
9-8-7
0.8763
0.8800
0.8825
0.8700
0.9645"
binaria,35,"KNN
DeepONMF_W
10-6-4
0.8762
0.8950
0.9075
0.8450
0.9593"
binaria,36,"KNN
DeepONMF_W
8-5-3
0.8719
0.8970
0.9137
0.8300
0.9556"
multiclase,1,"SVM
MFCC
No aplica
0.9938
0.9960
0.9900
0.9975
0.9904"
multiclase,2,"UjaNet
MelSpectrogram
No aplica
0.9850
0.9904
0.9760
0.9940
0.9768"
multiclase,3,"SVM
LogMelSpectrogram
No aplica
0.9844
0.9900
0.9750
0.9938
0.9755"
multiclase,4,"KNN
MFCC
No aplica
0.9844
0.9900
0.9750
0.9938
0.9762"
multiclase,5,"SVM
MelSpectrogram
No aplica
0.9831
0.9892
0.9730
0.9932
0.9738"
multiclase,6,"SVM
STFT
No aplica
0.9819
0.9884
0.9710
0.9928
0.9719"
multiclase,7,"UjaNet
STFT
No aplica
0.9819
0.9884
0.9710
0.9927
0.9722"
multiclase,8,"UjaNet
LogMelSpectrogram
No aplica
0.9819
0.9884
0.9710
0.9928
0.9719"
multiclase,9,"UjaNet
MFCC
No aplica
0.9806
0.9876
0.9690
0.9922
0.9697"
multiclase,10,"KNN
LogMelSpectrogram
No aplica
0.9800
0.9872
0.9680
0.9920
0.9702"
multiclase,11,"KNN
MelSpectrogram
No aplica
0.9731
0.9828
0.9570
0.9892
0.9581"
multiclase,12,"KNN
STFT
No aplica
0.9719
0.9820
0.9550
0.9888
0.9557"
multiclase,13,"UjaNet
DeepONMF_H3
9-8-7
0.9619
0.9756
0.9390
0.9848
0.9404"
multiclase,14,"UjaNet
DeepONMF_H3
8-5-3
0.9613
0.9752
0.9380
0.9845
0.9401"
multiclase,15,"UjaNet
DeepONMF_H3
15-10-5
0.9563
0.9720
0.9300
0.9825
0.9314"
multiclase,16,"UjaNet
DeepONMF_H3
10-6-4
0.9531
0.9700
0.9250
0.9812
0.9266"
multiclase,17,"SVM
DeepONMF_H3
8-5-3
0.9387
0.9608
0.9020
0.9755
0.9048"
multiclase,18,"SVM
DeepONMF_H3
10-6-4
0.9325
0.9568
0.8920
0.9730
0.8951"
multiclase,19,"SVM
DeepONMF_H3
15-10-5
0.9287
0.9544
0.8860
0.9715
0.8882"
multiclase,20,"SVM
DeepONMF_H3
9-8-7
0.9281
0.9540
0.8850
0.9712
0.8893"
multiclase,21,"UjaNet
DeepONMF_W
8-5-3
0.9206
0.9492
0.8730
0.9683
0.8815"
multiclase,22,"UjaNet
DeepONMF_W
10-6-4
0.9031
0.9380
0.8450
0.9613
0.8503"
multiclase,23,"UjaNet
DeepONMF_W
15-10-5
0.9019
0.9372
0.8430
0.9607
0.8475"
multiclase,24,"KNN
DeepONMF_H3
8-5-3
0.8994
0.9356
0.8390
0.9597
0.8556"
multiclase,25,"UjaNet
DeepONMF_W
9-8-7
0.8975
0.9344
0.8360
0.9590
0.8415"
multiclase,26,"KNN
DeepONMF_H3
10-6-4
0.8956
0.9332
0.8330
0.9583
0.8460"
multiclase,27,"KNN
DeepONMF_H3
15-10-5
0.8719
0.9180
0.7950
0.9487
0.8222"
multiclase,28,"KNN
DeepONMF_H3
9-8-7
0.8431
0.8996
0.7490
0.9373
0.7943"
multiclase,29,"SVM
DeepONMF_W
10-6-4
0.8356
0.8948
0.7370
0.9343
0.7469"
multiclase,30,"SVM
DeepONMF_W
8-5-3
0.8356
0.8948
0.7370
0.9343
0.7475"
multiclase,31,"SVM
DeepONMF_W
15-10-5
0.8225
0.8864
0.7160
0.9290
0.7211"
multiclase,32,"SVM
DeepONMF_W
9-8-7
0.8156
0.8820
0.7050
0.9263
0.7087"
multiclase,33,"KNN
DeepONMF_W
8-5-3
0.7806
0.8596
0.6490
0.9123
0.6774"
multiclase,34,"KNN
DeepONMF_W
10-6-4
0.7656
0.8500
0.6250
0.9062
0.6495"
multiclase,35,"KNN
DeepONMF_W
15-10-5
0.7387
0.8328
0.5820
0.8955
0.6134"
multiclase,36,"KNN
DeepONMF_W
9-8-7
0.7200
0.8208
0.5520
0.8880
0.5723"
