distribucion,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
No aplica,UjaNet,STFT,0.9884,0.0051768716422179,0.971,0.0129421791055447,0.9927499999999998,0.0032355447763861,0.9721825846449246,0.0122036502125443,0.981875,0.0080888619409654
No aplica,UjaNet,MFCC,0.9876,0.0060663003552412,0.969,0.0151657508881032,0.99225,0.0037914377220257,0.9696955443643503,0.0146275976774222,0.980625,0.0094785943050644
No aplica,UjaNet,MelSpectrogram,0.9904,0.005899152481501,0.976,0.0147478812037526,0.994,0.0036869703009381,0.9767611634980355,0.0142950230259694,0.985,0.0092174257523453
No aplica,UjaNet,LogMelSpectrogram,0.9884,0.0049799598391955,0.971,0.0124498995979886,0.99275,0.0031124748994971,0.9718538956010372,0.0122769927286418,0.981875,0.007781187248743
9-8-7,UjaNet,DeepONMF_W,0.9344,0.0077974354758471,0.836,0.0194935886896178,0.959,0.0048733971724044,0.8415429079897642,0.0187249698776152,0.8975,0.0121834929310112
15-10-5,UjaNet,DeepONMF_W,0.9372,0.0112782977438973,0.843,0.0281957443597433,0.96075,0.0070489360899358,0.8475473918477547,0.0287405274491327,0.901875,0.0176223402248395
10-6-4,UjaNet,DeepONMF_W,0.938,0.0083666002653407,0.845,0.0209165006633519,0.96125,0.0052291251658379,0.8502989224755803,0.0198555707944304,0.903125,0.0130728129145949
8-5-3,UjaNet,DeepONMF_W,0.9492,0.0050199601592044,0.873,0.0125499003980111,0.96825,0.0031374750995027,0.8814761225997048,0.011564421036186,0.920625,0.0078436877487569
9-8-7,UjaNet,DeepONMF_H3,0.9756,0.0105261578935526,0.939,0.0263153947338814,0.98475,0.0065788486834704,0.9403683132374544,0.0255635693468484,0.961875,0.0164471217086759
15-10-5,UjaNet,DeepONMF_H3,0.972,0.0133416640641262,0.93,0.0333541601603158,0.9825,0.008338540040079,0.931363653470468,0.0327267042399574,0.95625,0.0208463501001973
10-6-4,UjaNet,DeepONMF_H3,0.97,0.011916375287813,0.925,0.0297909382195324,0.98125,0.0074477345548831,0.9265715592127396,0.0294490561860468,0.953125,0.0186193363872077
8-5-3,UjaNet,DeepONMF_H3,0.9751999999999998,0.0123773987574126,0.938,0.0309434968935315,0.9845,0.0077358742233828,0.9401057961694652,0.0289494780105749,0.96125,0.0193396855584572
