clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
N,36,160,0,4,0.98,0.9,1.0,1.0,0.95,40
AS,40,151,9,0,0.955,1.0,0.94375,0.8163265306122449,0.971875,40
MR,34,158,2,6,0.96,0.85,0.9875,0.9444444444444444,0.91875,40
MS,38,156,4,2,0.97,0.95,0.975,0.9047619047619048,0.9624999999999999,40
MVP,32,155,5,8,0.935,0.8,0.96875,0.8648648648648649,0.884375,40
PROMEDIO_MACRO,180,780,20,20,0.9600000000000002,0.9,0.975,0.9060795489366917,0.9375,200
