,N,AS,MR,MS,MVP
N,98.5,0.0,0.5,0.0,1.0
AS,0.0,97.0,2.5,0.0,0.5
MR,0.0,1.5,95.5,2.0,1.0
MS,0.0,0.5,1.0,94.0,4.5
MVP,3.0,2.5,2.0,3.0,89.5
