distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
20-16-12-8-4,5,KNN,DeepONMF_H5,1,159,32,8,1,0.955,0.99375,0.8,0.9520958083832335,0.8968750000000001
20-16-12-8-4,5,KNN,DeepONMF_H5,2,159,34,6,1,0.965,0.99375,0.85,0.9636363636363636,0.921875
20-16-12-8-4,5,KNN,DeepONMF_H5,3,158,35,5,2,0.965,0.9875,0.875,0.9693251533742331,0.93125
20-16-12-8-4,5,KNN,DeepONMF_H5,4,158,35,5,2,0.965,0.9875,0.875,0.9693251533742331,0.93125
20-16-12-8-4,5,KNN,DeepONMF_H5,5,158,33,7,2,0.955,0.9875,0.825,0.9575757575757575,0.90625
20-16-12-8-4,5,KNN,DeepONMF_W,1,146,31,9,14,0.885,0.9125,0.775,0.9419354838709677,0.84375
20-16-12-8-4,5,KNN,DeepONMF_W,2,144,36,4,16,0.9,0.9,0.9,0.972972972972973,0.9
20-16-12-8-4,5,KNN,DeepONMF_W,3,149,35,5,11,0.92,0.93125,0.875,0.9675324675324676,0.903125
20-16-12-8-4,5,KNN,DeepONMF_W,4,151,33,7,9,0.92,0.94375,0.825,0.9556962025316456,0.8843749999999999
20-16-12-8-4,5,KNN,DeepONMF_W,5,151,34,6,9,0.925,0.94375,0.85,0.9617834394904459,0.896875
20-16-12-8-4,5,SVM,DeepONMF_H5,1,157,36,4,3,0.965,0.98125,0.9,0.9751552795031055,0.940625
20-16-12-8-4,5,SVM,DeepONMF_H5,2,157,40,0,3,0.985,0.98125,1.0,1.0,0.990625
20-16-12-8-4,5,SVM,DeepONMF_H5,3,156,37,3,4,0.965,0.975,0.925,0.9811320754716981,0.95
20-16-12-8-4,5,SVM,DeepONMF_H5,4,155,36,4,5,0.955,0.96875,0.9,0.9748427672955975,0.934375
20-16-12-8-4,5,SVM,DeepONMF_H5,5,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
20-16-12-8-4,5,SVM,DeepONMF_W,1,146,39,1,14,0.925,0.9125,0.975,0.9931972789115646,0.94375
20-16-12-8-4,5,SVM,DeepONMF_W,2,144,38,2,16,0.91,0.9,0.95,0.9863013698630136,0.925
20-16-12-8-4,5,SVM,DeepONMF_W,3,147,37,3,13,0.92,0.91875,0.925,0.98,0.921875
20-16-12-8-4,5,SVM,DeepONMF_W,4,148,38,2,12,0.93,0.925,0.95,0.9866666666666667,0.9375
20-16-12-8-4,5,SVM,DeepONMF_W,5,149,37,3,11,0.93,0.93125,0.925,0.9802631578947368,0.9281250000000001
20-16-12-8-4,5,UjaNet,DeepONMF_H5,1,160,38,2,0,0.99,1.0,0.95,0.9876543209876543,0.975
20-16-12-8-4,5,UjaNet,DeepONMF_H5,2,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
20-16-12-8-4,5,UjaNet,DeepONMF_H5,3,155,40,0,5,0.975,0.96875,1.0,1.0,0.984375
20-16-12-8-4,5,UjaNet,DeepONMF_H5,4,159,35,5,1,0.97,0.99375,0.875,0.9695121951219512,0.934375
20-16-12-8-4,5,UjaNet,DeepONMF_H5,5,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
20-16-12-8-4,5,UjaNet,DeepONMF_W,1,157,36,4,3,0.965,0.98125,0.9,0.9751552795031055,0.940625
20-16-12-8-4,5,UjaNet,DeepONMF_W,2,154,39,1,6,0.965,0.9625,0.975,0.9935483870967742,0.96875
20-16-12-8-4,5,UjaNet,DeepONMF_W,3,152,37,3,8,0.945,0.95,0.925,0.9806451612903225,0.9375
20-16-12-8-4,5,UjaNet,DeepONMF_W,4,156,38,2,4,0.97,0.975,0.95,0.9873417721518988,0.9624999999999999
20-16-12-8-4,5,UjaNet,DeepONMF_W,5,160,37,3,0,0.985,1.0,0.925,0.9815950920245399,0.9625
