epoca,loss_train,loss_val
1,0.23136941864964014,0.04004287347197533
2,0.0733523838548296,0.014100203290581703
3,0.021970730965700857,0.00663291709497571
4,0.029560374664900958,0.0005901128170080483
5,0.004365077020897962,1.9919101760024205e-05
6,0.003636623728253989,1.2733330549963284e-05
7,0.00028519810322425484,3.7650884223694447e-06
8,0.00048560720619760943,1.2250509371369844e-06
9,0.022653433184458525,0.003420610912144184
10,0.0045283389525762885,0.0011755814775824547
11,0.00756699580239752,1.534197508590296e-05
12,0.001142740247818101,9.274510375689715e-06
13,5.284651492732063e-05,8.366625365852087e-07
14,0.000318529341135494,3.250436577673099e-07
15,6.987917197879103e-05,4.798201871381025e-07
16,0.0001279797477124441,2.4013237975850643e-07
17,2.6248973590328267e-05,1.0825092289223903e-07
18,0.00012079212381408312,3.0687385788041865e-07
19,0.0001053554103051709,4.325349323153205e-08
20,3.439578496444224e-05,4.257501018400944e-08
21,4.625300374579825e-06,3.823617689135972e-08
22,0.00015225969322632755,2.3133758020321693e-08
23,1.1225236964706243e-05,2.141904076324863e-08
24,0.008840893884952244,0.0011965845478698611
25,0.02174917254950739,0.0009054377442225814
26,0.010039447059859777,4.8243800847558305e-06
27,0.0006788789245601312,0.0006785272853448987
28,0.000956339638093825,2.0218312783981673e-06
29,0.00786686828754379,0.0007966753910295665
30,0.005585953584009016,1.3828279179506353e-06
